query,location,pages,target_names
"leggings donna email",Milano,10,"MARIA|ANNA|GIULIA|SARA|CHIARA"
"leggings donna email",Roma,10,"FRANCESCA|ALESSIA|JESSICA|LAURA|MARTINA"
"leggings donna email",Napoli,10,"VALENTINA|FEDERICA|SILVIA|ELISA|GIORGIA"
"leggings donna email",Torino,10,"ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA"
"leggings donna email",Firenze,10,"MARIA|ANNA|GIULIA|SARA|CHIARA"
"abbigliamento sportivo donna email",Milano,10,"FRANCESCA|ALESSIA|JESSICA|LAURA|MARTINA"
"abbigliamento sportivo donna email",Roma,10,"VALENTINA|FEDERICA|SILVIA|ELISA|GIORGIA"
"yoga pants donna email",Bologna,8,"ELENA|ILARIA|CRISTINA|CLAUDIA"
"fitness wear donna email",Venezia,8,"MARIA|ANNA|GIULIA|SARA"
"activewear donna email",Genova,8,"CHIARA|FRANCESCA|ALESSIA|JESSICA"
