query,location,pages,target_names
"site:medium.com MARIA leggings email",italia,10,"MARIA"
"site:medium.com ANNA leggings email",italia,10,"ANNA"
"site:medium.com GIULIA leggings email",italia,10,"GIULIA"
"site:medium.com SARA leggings email",italia,10,"SARA"
"site:medium.com CHIARA leggings email",italia,10,"CHIARA"
"site:medium.com FRANCESCA leggings email",italia,10,"FRANCESCA"
"site:medium.com ALESSIA leggings email",italia,10,"ALESSIA"
"site:medium.com JESSICA leggings email",italia,10,"JESSICA"
"site:medium.com LAURA leggings email",italia,10,"LAURA"
"site:medium.com MARTINA leggings email",italia,10,"MARTINA"
"site:medium.com VALENTINA leggings email",italia,10,"VALENTINA"
"site:medium.com FEDERICA leggings email",italia,10,"FEDERICA"
"site:medium.com SILVIA leggings email",italia,10,"SILVIA"
"site:medium.com ELISA leggings email",italia,10,"ELISA"
"site:medium.com GIORGIA leggings email",italia,10,"GIORGIA"
"site:medium.com ELENA leggings email",italia,10,"ELENA"
"site:medium.com ILARIA leggings email",italia,10,"ILARIA"
"site:medium.com CRISTINA leggings email",italia,10,"CRISTINA"
"site:medium.com CLAUDIA leggings email",italia,10,"CLAUDIA"
"site:medium.com STEFANIA leggings email",italia,10,"STEFANIA"
"site:substack.com MARIA fitness leggings email",italia,10,"MARIA"
"site:substack.com ANNA fitness leggings email",italia,10,"ANNA"
"site:substack.com GIULIA fitness leggings email",italia,10,"GIULIA"
"site:substack.com SARA fitness leggings email",italia,10,"SARA"
"site:substack.com CHIARA fitness leggings email",italia,10,"CHIARA"
"site:substack.com FRANCESCA fitness leggings email",italia,10,"FRANCESCA"
"site:substack.com ALESSIA fitness leggings email",italia,10,"ALESSIA"
"site:substack.com JESSICA fitness leggings email",italia,10,"JESSICA"
"site:substack.com LAURA fitness leggings email",italia,10,"LAURA"
"site:substack.com MARTINA fitness leggings email",italia,10,"MARTINA"
"site:substack.com VALENTINA fitness leggings email",italia,10,"VALENTINA"
"site:substack.com FEDERICA fitness leggings email",italia,10,"FEDERICA"
"site:substack.com SILVIA fitness leggings email",italia,10,"SILVIA"
"site:substack.com ELISA fitness leggings email",italia,10,"ELISA"
"site:substack.com GIORGIA fitness leggings email",italia,10,"GIORGIA"
"site:substack.com ELENA fitness leggings email",italia,10,"ELENA"
"site:substack.com ILARIA fitness leggings email",italia,10,"ILARIA"
"site:substack.com CRISTINA fitness leggings email",italia,10,"CRISTINA"
"site:substack.com CLAUDIA fitness leggings email",italia,10,"CLAUDIA"
"site:substack.com STEFANIA fitness leggings email",italia,10,"STEFANIA"
